Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
INDIANA UNIV BLOOMINGTON PD,141146,MONROE,BLOOMINGTON,BLOOMINGTON,4/16/14,8:53 PM,1,0,1,0,0,,JORDAN,AVE,,,,JORDAN AVE,THIRD,,,,Y,OTHER,,,39.16427532,-86.51640856,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,LEFT TURN,JORDANAVETHIRDST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,52814220,MONROE,BLOOMINGTON,BLOOMINGTON,5/28/14,2:20 PM,1,0,1,0,0,,E 3RD,ST,,,,E 3RD ST,S CLARIZZ,,,,Y,OTHER,,,39.16424,-86.4908,LOCAL/CITY ROAD,Y,,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,,,OTHER - EXPLAIN IN NARRATIVE,E3RDSTSCLARIZZBLVD,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,53014199,MONROE,BLOOMINGTON,BLOOMINGTON,5/30/14,12:48 PM,1,0,1,0,0,,ATWATER,AVE,,,,ATWATER AVE,JORDAN,,,,Y,OTHER,,,39.16304983,-86.51638984,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,ATWATERAVEJORDANAVE,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,90314296,MONROE,PERRY,BLOOMINGTON,9/3/14,8:15 PM,1,0,1,0,0,,HILLSIDE,DR,,,,HILLSIDE DR,WALNUT,,,,Y,OTHER,,,39.150544,-86.5336,LOCAL/CITY ROAD,Y,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,HILLSIDEDRWALNUTST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1407768,MONROE,VAN BUREN,BLOOMINGTON,9/26/14,1:45 PM,1,0,1,0,0,,,,SR37N,,,SR37N,3RD,,,,Y,OTHER,,,39.164752,-86.573104,STATE ROAD,,N,Y,URBAN,N,Y,N,,DAYLIGHT,CLEAR,DRY,CURBED,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,3RDSTSR37N,1,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,143416,MONROE,BLOOMINGTON,BLOOMINGTON,12/2/14,7:05 PM,1,0,1,0,0,,10TH,,,,,10TH,FEE,,,,Y,,100,W,39.17158656,-86.51904083,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,10THSTFEELN,1,NONE
BLOOMINGTON PD,B1417447,MONROE,PERRY,BLOOMINGTON,12/5/14,11:50 PM,1,0,1,0,0,,PATTERSON,,,,,PATTERSON,3RD,,,,Y,,,,39.16344009,-86.55128002,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,3RDSTPATTERSONST,1,NONE
MONROE SD,M15A1460,MONROE,PERRY,BLOOMINGTON,1/23/15,8:06 AM,1,0,1,0,0,900,W GORDON,,,,,W GORDON,,,,,N,,,,39.121648,-86.539088,OTHER,,N,N,URBAN,Y,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WGORDONPIKE,1,YIELD SIGN
BLOOMINGTON PD,B1529847,MONROE,PERRY,BLOOMINGTON,7/20/15,5:00 PM,1,0,2,0,0,1333,S SARE,RD,,,,S SARE,,,,,Y,,,,39.150448,-86.4992,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$5001 TO $10000,BACKING CRASH,SSARERD,1,NONE
BLOOMINGTON PD,B1545117,MONROE,BLOOMINGTON,BLOOMINGTON,10/22/15,12:50 PM,1,0,1,0,0,,W 4TH,ST,,,,W 4TH,S FAIRVIEW,,,,Y,,,,39.165712,-86.5408,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,$5001 TO $10000,RIGHT ANGLE,SFAIRVIEWSTW4THST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,152939,MONROE,PERRY,BLOOMINGTON,10/30/15,11:20 PM,1,0,1,0,0,,ATWATER,AVE,,,,ATWATER,JORDAN,,,,Y,,,,39.16304983,-86.51638984,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,LEFT TURN,ATWATERAVEJORDANAVE,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1644829,MONROE,PERRY,BLOOMINGTON,11/7/16,8:58 AM,1,0,1,0,0,,1ST,ST,,,,1ST,ROGERS,,,,Y,,,,39.159504,-86.538592,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,1STSTROGERSST,1,STOP SIGN
MONROE SD,M16A25978,MONROE,WASHINGTON,BLOOMINGTON,11/18/16,5:45 PM,1,0,1,0,0,,,,SR37N,,,SR37N,BURMA,,,,N,OTHER,2000,N,39.31968099,-86.51067443,STATE ROAD,,N,N,RURAL,N,N,Y,WORK ON SHOULDER,DAYLIGHT,RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,BURMARDSR37N,1,NONE
INDIANA UNIV BLOOMINGTON PD,170430,MONROE,BLOOMINGTON,BLOOMINGTON,2/17/17,4:30 PM,1,0,1,0,0,1000,N FEE,LN,,,,N FEE,,,,,Y,,,,39.175152,-86.518992,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,NFEELN,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,170559,MONROE,BLOOMINGTON,BLOOMINGTON,3/2/17,12:30 PM,1,0,1,0,0,1000,N FEE,LN,,,,N FEE,,,,,Y,,,,39.175152,-86.518992,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NFEELN,1,NONE
BLOOMINGTON PD,B1708910,MONROE,BLOOMINGTON,BLOOMINGTON,3/10/17,12:02 AM,1,0,1,0,0,,N DUNN,ST,,,,N DUNN,E 10TH,,,,Y,,,,39.17168,-86.528256,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,E10THSTNDUNNST,1,NONE
BLOOMINGTON PD,B1713036,MONROE,BLOOMINGTON,BLOOMINGTON,4/8/17,4:45 PM,1,0,2,0,0,4531,E 3RD,ST,,,,E 3RD,,,,,Y,PRIVATE,,,39.164288,-86.473488,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,BACKING CRASH,E3RDST,2,NONE
INDIANA UNIV BLOOMINGTON PD,171245,MONROE,BLOOMINGTON,BLOOMINGTON,5/18/17,7:57 AM,1,0,1,0,0,611,N WALNUT GROVE,ST,,,,N WALNUT GROVE,,,,,Y,,,,39.17170612,-86.52089927,OTHER,,N,N,URBAN,Y,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NWALNUTGROVEST,1,NONE
BLOOMINGTON PD,B1742099,MONROE,RICHLAND,BLOOMINGTON,10/13/17,4:49 PM,1,0,2,0,0,160,GATES,DR,,,,GATES,,,,,Y,,,,39.16781211,-86.57606255,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,GATESDR,1,NONE
INDIANA UNIV BLOOMINGTON PD,172936,MONROE,BLOOMINGTON,BLOOMINGTON,11/30/17,11:30 AM,1,0,0,0,0,445,NORTH UNION,ST,,,,NORTH UNION,,,,,Y,,,,39.17034241,-86.50949389,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,CONCRETE,UNSAFE LANE MOVEMENT,UNDER $1001,LEFT TURN,NORTHUNIONST,1,NONE
BLOOMINGTON PD,B1751097,MONROE,PERRY,BLOOMINGTON,12/15/17,6:05 PM,1,0,1,0,0,,MOSS CREEK,DR,,,,MOSS CREEK,WINSLOW FARM,,,,Y,,150,S,39.12150937,-86.52084,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,MOSSCREEKDRWINSLOWFARMDR,1,NONE
BLOOMINGTON PD,B1751189,MONROE,BLOOMINGTON,BLOOMINGTON,12/16/17,2:12 PM,1,0,2,0,0,,EAST 4TH,ST,,,,EAST 4TH,SOUTH WASHINGTON,,,,Y,,,,39.165648,-86.5324,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,EAST4THSTSOUTHWASHINGTONST,2,STOP SIGN
BLOOMINGTON PD,B1752366,MONROE,PERRY,BLOOMINGTON,12/18/17,1:45 PM,1,0,0,0,0,,1822 S COVEY,LN,,,,1822 S COVEY,MILLER,,,,Y,,300,S,39.146976,-86.516192,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,1822SCOVEYLNMILLERDR,1,NONE
BLOOMINGTON PD,B1802985,MONROE,BLOOMINGTON,BLOOMINGTON,1/23/18,4:12 PM,1,0,1,0,0,105,S FRANKLIN,RD,,,,S FRANKLIN,,,,,Y,,,,39.166496,-86.571216,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SFRANKLINRD,1,NONE
INDIANA UNIV BLOOMINGTON PD,180527,MONROE,BLOOMINGTON,BLOOMINGTON,2/21/18,8:23 PM,1,0,1,0,0,,UNION,ST,,,,UNION,TENTH,,,,Y,,,,39.17157,-86.50935,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,COLLISION WITH OBJECT IN ROAD,TENTHSTUNIONST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1819052,MONROE,BLOOMINGTON,BLOOMINGTON,5/11/18,2:49 AM,1,0,2,0,0,,KIRKWOOD,AVE,,,,KIRKWOOD,GRANT,,,,Y,,,,39.16664,-86.529696,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$1001 TO $2500,COLLISION WITH OBJECT IN ROAD,GRANTSTKIRKWOODAVE,2,STOP SIGN
BLOOMINGTON PD,B1828595,MONROE,BLOOMINGTON,BLOOMINGTON,7/17/18,1:07 PM,1,0,1,0,0,2500,S ROCKPORT,RD,,,,S ROCKPORT,,,,,Y,,,,39.165648,-86.505792,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SROCKPORTRD,1,NONE
BLOOMINGTON PD,B1840350,MONROE,BLOOMINGTON,BLOOMINGTON,10/1/18,8:45 AM,1,0,0,0,0,,W 3RD,ST,,,,W 3RD,S KIMBLE,,,,Y,,,,39.16464,-86.568,LOCAL/CITY ROAD,Y,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,RIGHT TURN,SKIMBLEDRW3RDST,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,182809,MONROE,BLOOMINGTON,BLOOMINGTON,11/15/18,6:33 AM,1,0,1,0,0,,WOODLAWN,AVE,,,,WOODLAWN,SEVENTH,,,,Y,,,,39.16861,-86.523395,,,,Y,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,,RIGHT TURN,SEVENTHSTWOODLAWNAVE,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,183002,MONROE,BLOOMINGTON,BLOOMINGTON,12/6/18,1:23 PM,1,0,1,0,0,,THIRD,ST,,,,THIRD,CLIFTON,,,,Y,,,,39.164275,-86.50954,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,RIGHT TURN,CLIFTONAVETHIRDST,1,NONE
BLOOMINGTON PD,B1849826,MONROE,BLOOMINGTON,BLOOMINGTON,12/6/18,8:12 PM,1,0,1,0,0,,W 4TH,ST,,,,W 4TH,S MADISON,,,,Y,,,,39.16568,-86.537296,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),SLEET/HAIL/FREEZING RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SMADISONSTW4THST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,190240,MONROE,BLOOMINGTON,BLOOMINGTON,1/28/19,8:37 AM,1,0,1,0,0,,INDIANA,AVE,,,,INDIANA,17TH,,,,Y,,,,39.179024,-86.5272,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,EAST17THSTINDIANAAVE,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,190318,MONROE,BLOOMINGTON,BLOOMINGTON,2/7/19,11:15 AM,2,0,0,0,0,,THIRD,ST,,,,THIRD,JORDAN,,,,Y,,,,39.164315,-86.51655,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,REAR END,JORDANAVETHIRDST,0,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,190652,MONROE,BLOOMINGTON,BLOOMINGTON,3/19/19,5:19 PM,1,0,1,0,0,400,SIXTH,,,,,SIXTH ST,GRANT,,,,Y,,,,39.16749617,-86.52961263,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,COLLISION WITH OBJECT IN ROAD,E7THSTST,1,NONE
INDIANA UNIV BLOOMINGTON PD,190873,MONROE,BLOOMINGTON,BLOOMINGTON,4/9/19,7:19 PM,1,0,2,0,0,,BALLANTINE,RD,,,,BALLANTINE,THIRD,,,,Y,,,,39.16427,-86.51913,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,BALLANTINERDTHIRDST,2,LANE CONTROL
BLOOMINGTON PD,B1915345,MONROE,BLOOMINGTON,BLOOMINGTON,4/15/19,11:30 AM,1,0,1,0,0,,S FRANKLIN,RD,,,,S FRANKLIN,W 3RD,,,,Y,,,,39.164688,-86.5712,LOCAL/CITY ROAD,,,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,CELL PHONE USAGE,UNDER $1001,RIGHT TURN,SFRANKLINRDW3RDST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1916155,MONROE,PERRY,BLOOMINGTON,4/21/19,6:58 PM,1,0,2,0,0,3030,AMY,LN,,,,E AMY,,,,,Y,,,,39.169058,-86.497851,LOCAL/CITY ROAD,,N,Y,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,EAMYLN,2,NONE
