Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
INDIANA UNIV BLOOMINGTON PD,132185,MONROE,BLOOMINGTON,BLOOMINGTON,8/29/13,7:45 PM,1,0,1,0,0,,N DUNN,ST,,,,N DUNN ST,E 19TH,,,,Y,OTHER,,,39.18104,-86.5284,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,E19THSTNDUNNST,1,NONE
BLOOMINGTON PD,62513125,MONROE,BLOOMINGTON,BLOOMINGTON,6/25/13,1:27 PM,1,0,1,0,0,,MORTON,ST,,,,MORTON ST,6TH,,,,Y,PRIVATE,75,N,39.16786999,-86.536,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT ANGLE,6THSTMORTONST,1,NONE
INDIANA UNIV BLOOMINGTON PD,133603,MONROE,BLOOMINGTON,BLOOMINGTON,12/17/13,4:15 PM,1,0,0,0,0,,RANGE ROAD,RD,,,,RANGE ROAD RD,45 46 BYPASS,,,,Y,OTHER,,,39.17579093,-86.50450378,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,4546BYPASSBYPRANGEROADRD,1,NONE
MONROE SD,M14A1148,MONROE,PERRY,BLOOMINGTON,4/13/14,7:50 PM,1,0,1,0,0,315,W GORDON,PIKE,,,,W GORDON PIKE,,,,,N,PRIVATE,,,39.12154418,-86.53386009,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,WGORDONPIKE,1,NONE
BLOOMINGTON PD,52914165,MONROE,BLOOMINGTON,BLOOMINGTON,5/29/14,11:48 AM,1,0,0,0,0,,COLLEGE,AVE,,,,COLLEGE AVE,11TH,,,,Y,OTHER,75,S,39.17302602,-86.53475422,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,11THSTCOLLEGEAVE,1,LANE CONTROL
BLOOMINGTON PD,B1407976,MONROE,PERRY,BLOOMINGTON,9/27/14,6:20 PM,1,0,1,0,0,,EAST 2ND,ST,,,,EAST 2ND ST,WOODLAWN,,,,Y,OTHER,,,39.161312,-86.522576,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,,SAME DIRECTION SIDESWIPE,EAST2NDSTWOODLAWNAVE,1,STOP SIGN
BLOOMINGTON PD,90314084,MONROE,PERRY,BLOOMINGTON,9/3/14,8:19 AM,1,0,1,0,0,,E MILLER,DR,,,,E MILLER DR,S HENDERSON,,,,Y,OTHER,,,39.147152,-86.526896,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,EMILLERDRSHENDERSONST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,140476,MONROE,BLOOMINGTON,BLOOMINGTON,2/13/14,10:35 AM,1,0,1,0,0,,DUNN,ST,,,,DUNN ST,19TH,,,,Y,OTHER,,,39.18104,-86.5284,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,19THSTDUNNST,1,NONE
BLOOMINGTON PD,62914185,MONROE,VAN BUREN,BLOOMINGTON,6/29/14,7:15 PM,1,0,1,0,0,,,,SR45E,,,SR45E,LIBERTY,,,,Y,OTHER,,,39.145152,-86.5776,STATE ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,CURBED,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,$1001 TO $2500,SAME DIRECTION SIDESWIPE,LIBERTYDRSR45E,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,142066,MONROE,BLOOMINGTON,BLOOMINGTON,8/22/14,4:43 PM,1,0,1,0,0,,INDIANA,AVE,,,,INDIANA AVE,KIRKWOOD,,,,Y,OTHER,,,39.16664,-86.526896,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,INDIANAAVEKIRKWOODAVE,1,STOP SIGN
BLOOMINGTON PD,90314293,MONROE,BLOOMINGTON,BLOOMINGTON,9/3/14,8:36 PM,1,0,0,0,0,,COLLEGE,AVE,,,,COLLEGE AVE,OLD STATE ROAD 37,,,,Y,OTHER,,,39.186352,-86.534704,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,CENTER STRAND BARRIER,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,,COLLEGEAVEOLDSTATEROAD37RD,1,STOP SIGN
BLOOMINGTON PD,B1508692,MONROE,PERRY,BLOOMINGTON,3/4/15,5:20 PM,2,0,0,0,0,,BLOOMFIELD,,,,,BLOOMFIELD,ALLEN,,,,Y,,,,39.156144,-86.561296,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,SNOW,ICE,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$1001 TO $2500,RIGHT ANGLE,ALLENSTBLOOMFIELDRD,0,STOP SIGN
BLOOMINGTON PD,B1414394,MONROE,BLOOMINGTON,BLOOMINGTON,11/10/14,3:55 PM,1,0,1,0,0,,E 6TH,,,,,E 6TH,INDIANA,,,,Y,,,,39.167744,-86.526928,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,E6THSTINDIANAAVE,1,STOP SIGN
BLOOMINGTON PD,B1506014,MONROE,PERRY,BLOOMINGTON,2/12/15,10:28 PM,1,0,0,0,0,,WINSLOW,,,,,WINSLOW,WINSLOW,,,,Y,,,,39.136144,-86.523744,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,WINSLOWCTWINSLOWRD,1,NONE
BLOOMINGTON PD,B1521762,MONROE,BLOOMINGTON,BLOOMINGTON,5/28/15,7:54 AM,1,0,1,0,0,,N KINSER,PIKE,,,,N KINSER,W PARRISH,,,,Y,,,,39.188144,-86.5376,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,NKINSERPIKEWPARRISHRD,1,STOP SIGN
BLOOMINGTON PD,B1535336,MONROE,PERRY,BLOOMINGTON,8/23/15,9:40 AM,1,0,1,0,0,,NANCY,ST,,,,NANCY,HILLSIDE,,,,Y,,,,39.150544,-86.511088,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,HILLSIDEDRNANCYST,1,STOP SIGN
BLOOMINGTON PD,B1546490,MONROE,VAN BUREN,BLOOMINGTON,10/30/15,10:45 PM,2,1,0,0,0,,HIGHWAY 37 OFF RAMP,HWY,,,,HIGHWAY 37 OFF RAMP,BLOOMFIELD,,,,Y,,300,N,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,RAMP,STRAIGHT/GRADE,ASPHALT,IMPROPER LANE USAGE,$5001 TO $10000,SAME DIRECTION SIDESWIPE,BLOOMFIELDRDHIGHWAY37OFFRAMPHWY,0,LANE CONTROL
MONROE SD,M16A6228,MONROE,SALT CREEK,BLOOMINGTON,3/27/16,1:49 PM,1,0,0,0,0,,,,SR446S,,,SR446S,KNIGHTRIDGE,,,,N,OTHER,,,39.14420245,-86.46687098,STATE ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,KNIGHTRIDGERDSR446S,1,STOP SIGN
BLOOMINGTON PD,B1600275,MONROE,BLOOMINGTON,BLOOMINGTON,1/3/16,11:15 AM,1,0,0,0,0,,E 11TH,ST,,,,E 11TH,N DUNN,,,,Y,,,,39.17344,-86.528288,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,RIGHT ANGLE,E11THSTNDUNNST,1,STOP SIGN
MONROE SD,M16A11123,MONROE,PERRY,BLOOMINGTON,5/24/16,3:21 PM,1,0,1,0,0,,SOUTH ROGERS,ST,,,,SOUTH ROGERS,W CLEAR CREEK,,,,N,OTHER,210,S,39.11136,-86.539824,COUNTY ROAD,,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER PASSING,UNDER $1001,SAME DIRECTION SIDESWIPE,SOUTHROGERSSTWCLEARCREEKDR,1,NONE
BLOOMINGTON PD,B1633217,MONROE,BLOOMINGTON,BLOOMINGTON,8/22/16,6:28 PM,1,0,1,0,0,,WALNUT,ST,,,,WALNUT,3RD,,,,Y,,,,39.16464,-86.5336,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,UNDER $1001,RIGHT ANGLE,3RDSTWALNUTST,1,NONE
INDIANA UNIV BLOOMINGTON PD,161657,MONROE,BLOOMINGTON,BLOOMINGTON,7/27/16,12:01 PM,1,0,0,0,0,,SUNRISE,AVE,,,,SUNRISE,7TH,,,,Y,,,,39.16853026,-86.51242017,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,7THSTSUNRISEAVE,1,STOP SIGN
MONROE SD,M17A15472,MONROE,SALT CREEK,BLOOMINGTON,7/4/17,4:25 PM,1,0,1,0,0,,,,SR446S,,,SR446S,S KNIGHTRIDGE,,,,N,OTHER,,,39.1192,-86.43015,STATE ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,$10001 TO $25000,SAME DIRECTION SIDESWIPE,SKNIGHTRIDGERDSR446S,1,LANE CONTROL
BLOOMINGTON PD,B1738872,MONROE,PERRY,BLOOMINGTON,9/21/17,8:54 PM,1,0,1,0,0,,EAST DIXIE,ST,,,,EAST DIXIE,SOUTH WALNUT,,,,Y,,,,39.156544,-86.5336,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,EASTDIXIESTSOUTHWALNUTST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,171870,MONROE,BLOOMINGTON,BLOOMINGTON,8/28/17,3:45 PM,1,0,1,0,0,,E 9TH,ST,,,,E 9TH,N WOODLAWN,,,,Y,,100,W,39.170544,-86.523488,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,E9THSTNWOODLAWNAVE,1,NONE
INDIANA UNIV BLOOMINGTON PD,171800,MONROE,BLOOMINGTON,BLOOMINGTON,8/24/17,11:15 AM,1,0,1,0,0,,N JORDAN,AVE,,,,N JORDAN,E 7TH,,,,Y,,150,N,39.168944,-86.516016,LOCAL/CITY ROAD,,N,N,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,E7THSTNJORDANAVE,1,NONE
INDIANA UNIV BLOOMINGTON PD,170869,MONROE,BLOOMINGTON,BLOOMINGTON,4/5/17,5:42 PM,1,0,1,0,0,,7TH,ST,,,,7TH,SUNRISE,,,,Y,,,,39.16852,-86.512375,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,LEFT TURN,7THSTSUNRISEDR,1,NONE
BLOOMINGTON PD,B1727027,MONROE,BLOOMINGTON,BLOOMINGTON,7/8/17,7:07 PM,1,0,1,0,0,,,,SR45W,,,SR45W,N KINSER,,,,Y,,,,39.186544,-86.537888,STATE ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,NKINSERPIKESR45W,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1750159,MONROE,BLOOMINGTON,BLOOMINGTON,12/9/17,1:42 AM,1,0,0,0,0,,COLLEGE,AVE,,,,COLLEGE,9TH,,,,Y,,,,39.170544,-86.534768,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,HEADLIGHT DEFECTIVE OR NOT ON,UNDER $1001,RIGHT ANGLE,9THSTCOLLEGEAVE,1,STOP SIGN
BLOOMINGTON PD,B1812741,MONROE,BLOOMINGTON,BLOOMINGTON,3/31/18,4:10 PM,1,0,1,0,0,,SMITH,RD,,,,SMITH,MORNINGSIDE,,,,Y,,,,39.166432,-86.4812,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,MORNINGSIDEDRSMITHRD,1,STOP SIGN
BLOOMINGTON PD,B1751096,MONROE,PERRY,BLOOMINGTON,12/15/17,7:58 PM,1,0,1,0,0,,SOUTH HENDERSON,ST,,,,SOUTH HENDERSON,EAST WYLIE FARM,,,,Y,,,,39.14191,-86.52696,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,EASTWYLIEFARMRDSOUTHHENDERSONST,1,STOP SIGN
BLOOMINGTON PD,B1747633,MONROE,BLOOMINGTON,BLOOMINGTON,11/20/17,12:25 PM,1,0,1,0,0,,BUICK CADILLAC,DR,,,,BUICK CADILLAC,COLLEGE MALL,,,,Y,,,,39.15811,-86.49789,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,BUICKCADILLACDRCOLLEGEMALLRD,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,180564,MONROE,BLOOMINGTON,BLOOMINGTON,2/24/18,2:00 AM,1,0,1,0,0,,E 7TH,ST,,,,E 7TH,N FORREST,,,,Y,,,,39.168395,-86.520915,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,HEADLIGHT DEFECTIVE OR NOT ON,UNDER $1001,RIGHT ANGLE,E7THSTNFORRESTAVE,1,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,182052,MONROE,BLOOMINGTON,BLOOMINGTON,9/13/18,9:15 AM,1,0,1,0,0,,TENTH,ST,,,,TENTH,FEE,,,,Y,,179,W,39.17167,-86.51896451,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,SAME DIRECTION SIDESWIPE,FEELNTENTHST,1,NONE
BLOOMINGTON PD,B1829756,MONROE,BLOOMINGTON,BLOOMINGTON,7/25/18,9:05 AM,1,0,1,0,0,,N ELM,ST,,,,N ELM,W 6TH,,,,Y,,,,39.167712,-86.5452,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,NELMSTW6THST,1,STOP SIGN
BLOOMINGTON PD,B1841648,MONROE,PERRY,BLOOMINGTON,10/9/18,7:00 PM,1,0,1,0,0,,WEST 2ND,ST,,,,WEST 2ND,SOUTH COLLEGE,,,,Y,,150,W,39.16144,-86.534848,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,SOUTHCOLLEGEAVEWEST2NDST,1,LANE CONTROL
MONROE SD,M18A31932,MONROE,VAN BUREN,BLOOMINGTON,10/22/18,6:38 AM,1,0,1,0,0,,,,SR48E,,,SR48E,DANIELS,,,,N,,,,39.1648,-86.5991,STATE ROAD,Y,N,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,LEFT TURN,SR48EWDANIELSWAY,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,182647,MONROE,BLOOMINGTON,BLOOMINGTON,10/31/18,8:34 AM,1,0,1,0,0,,THIRD,ST,,,,THIRD,JORDAN,,,,Y,,,,39.164315,-86.51655,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAWN/DUSK,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,RIGHT ANGLE,JORDANAVETHIRDST,1,TRAFFIC CONTROL SIGNAL
