Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,1,,0,0,0,,I-69 - 123 - C,,,,,I-69 - 123 - C,,,,,N,,0.0,,39.23459573392136,-86.54167456879614,INTERSTATE,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,ICE,,RAMP,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$2501 TO $5000,,I-69-123-C,0,,2022-01-18 08:40:00,,,
BLOOMINGTON PD,B22-02381,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,N ST RD 46,,,,,N ST RD 46,E 7TH ST,,,,Y,,0.0,,39.16765,-86.50003,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,NST RD 46E7THST,0,,2022-01-22 13:43:00,,,
INDIANA UNIV BLOOMINGTON PD,220016,MONROE,BLOOMINGTON,BLOOMINGTON,2,0.0,0,0,0,,3RD,ST,,,,3RD,S HAWTHORNE,,,,Y,,,,39.16425,-86.52008,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LN MOVEMENT,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SHAWTHORNEDR3RDST,0,TRAFFIC CONTROL SIGNAL,2022-01-04 12:32:00,,,
MONROE SD,M22A1274,MONROE,WASHINGTON,BLOOMINGTON,1,,0,0,0,,I-69,,,,,I-69,,,,,N,,634.0,,39.33304852685566,-86.51344199258739,INTERSTATE,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$2501 TO $5000,RAN OFF RD,I-69,0,,2022-01-17 20:41:00,,,
ELLETTSVILLE PD,E2200336,MONROE,RICHLAND,ELLETTSVILLE,2,0.0,0,0,0,,,,ST RD 46 W,,,ST RD 46 W,LAKEVIEW,,,,Y,,,,39.22104,-86.60539,ST RD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,LAKEVIEWDRST RD 46 W,0,NONE,2022-01-27 07:26:00,,,
ISP BLOOMINGTON 33,2022-00034956,MONROE,PERRY,BLOOMINGTON,1,,0,0,1,,I-69,,,,,I-69,,,115.0,,Y,,1003.0,,39.120707100417185,-86.57008632303994,INTERSTATE,,,,RURAL,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$1001 TO $2500,COLLISION WITH ANIMAL OTHER,I-69115,0,,2022-01-23 07:15:00,,,
MONROE SD,M22A19612,MONROE,BLOOMINGTON,BLOOMINGTON,2,,2,0,0,,S ROGERS ST,,,,,S ROGERS ST,W 3RD ST,,,,Y,,0.0,,39.16463,-86.53869,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$25001 TO $50000,RIGHT ANGLE,W 3RDSTSROGERSST,0,,2022-08-11 16:04:00,,,
BLOOMINGTON PD,B22-02889,MONROE,BLOOMINGTON,BLOOMINGTON,1,,1,0,0,,N INDIANA AVE,,,,,N INDIANA AVE,E 10TH ST,,,,Y,,0.0,,39.17167,-86.527,,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,NINDIANAAVEE 10THST,1,,2022-01-26 18:20:00,,True,
BLOOMINGTON PD,B22-001349,MONROE,,BLOOMINGTON,1,,0,0,0,,CURRY PK,,,,,CURRY PK,ROLL AVE,,,,Y,,0.0,,39.1472,-86.58258,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,RAN OFF RD,ROLLAVECURRYPK,0,,2022-01-13 12:52:00,,,
INDIANA UNIV BLOOMINGTON PD,222379,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,150,N EAGLESON AVE,,,,,N EAGLESON AVE,,,,,Y,,0.0,,39.167291543660376,-86.51458959760006,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT TURN,N.EAGLESONAVE,0,,2022-07-13 13:35:00,,,
BLOOMINGTON PD,B22-01008,MONROE,,BLOOMINGTON,2,,2,0,0,,N WALNUT ST,,,,,N WALNUT ST,W 14TH ST,,,,N,,0.0,,39.17595,-86.53355,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,LEFT TURN,W14THSTNWALNUTST,0,,2022-01-10 09:24:00,,,
BLOOMINGTON PD,B22-01379,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,W 12TH ST,,,,,W 12TH ST,,,,,Y,,0.0,,39.1741678651955,-86.55006894095197,OTHER,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,W12THST,0,,2022-01-13 06:30:00,,,
BLOOMINGTON PD,B22-01085,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,140 N,GATES DR,,,,,GATES DR,,,,,Y,,0.0,,39.16680756731628,-86.57464353841979,LOCAL/CITY RD,,,,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,GATESDR,0,,2022-01-09 21:00:00,,,
ELLETTSVILLE PD,E2200058,MONROE,RICHLAND,ELLETTSVILLE,2,0.0,0,0,0,,,,ST RD 46 W,,,ST RD 46 W,LOVE,,,,Y,,100.0,E,39.22005,-86.60372,ST RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,LOVELNST RD 46 W,0,LN CONTROL,2022-01-05 10:31:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,1,,0,0,0,,I-69,,,,,I-69,,,117.5,,Y,,0.0,,39.158885535238106,-86.57297148303958,INTERSTATE,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,,$10001 TO $25000,RAN OFF RD,I-69117.5,0,,2022-02-02 13:35:00,,,
BLOOMINGTON PD,B22-00589,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,1100 S COLLEGE MALL RD,,,,,S COLLEGE MALL RD,,,,,Y,,0.0,,39.15343083612691,-86.49744701022848,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,1100SCOLLEGEMALLRD,0,,2022-01-06 04:05:00,1100.0,,
ELLETTSVILLE PD,E2200104,MONROE,RICHLAND,ELLETTSVILLE,1,0.0,0,0,0,,HARTSTRAIT,RD,,,,HARTSTRAIT,TEMPERANCE,,,,Y,,50.0,S,39.22765,-86.61593,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),SLEET/HAIL/FREEZING RAIN,ICE,,T-INTERSECTION,CURVE/GRADE,ASPHALT,RDWAY SURFACE CONDITION,$1001 TO $2500,RAN OFF RD,HARTSTRAITRDTEMPERANCEST,0,LN CONTROL,2022-01-08 18:40:00,,,
BLOOMINGTON PD,B22-18564,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,1285 S COLLEGE MALL RD,,,,,S COLLEGE MALL RD,,,,,Y,,0.0,,-2.0393953671920974e-05,-3.491747591093969e-05,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,1285S.COLLEGEMALLRD,0,,2022-05-20 14:59:00,1285.0,,
BLOOMINGTON PD,B22-03235,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,,I-69,,,,,I-69,W 3RD ST,,117.5,,Y,,300.0,,39.16450561557746,-86.57328719462626,INTERSTATE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,W.3RDSTI-69,0,,2022-01-29 08:17:00,,,
BLOOMINGTON PD,B22-28627,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,671,S LANDMARK AVE,,,,,S LANDMARK AVE,,,,,Y,,0.0,,39.158608851083166,-86.55376383864419,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,CONCRETE,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,SLANDMARKAVE,0,,2022-07-26 14:44:00,,,
MONROE SD,M22A2872,MONROE,SALT CREEK,BLOOMINGTON,1,,1,0,0,,ST RD 46,,,,,ST RD 46,N DUBLIN DR,,,,N,,0.0,,39.16361,-86.43815,,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LN,$10001 TO $25000,RAN OFF RD,STATERD46NDUBLINDR,0,,2022-02-06 05:30:00,,,
BLOOMINGTON PD,B22-21734,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,1175,S COLLEGE MALL R,,,,,S COLLEGE MALL R,,,,,Y,,0.0,,39.12649475341771,-86.57874649370949,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,OPPOSITE DIRECTION SIDESWIPE,SCOLLEGEMALLR,0,,2022-06-10 19:23:00,,,
BLOOMINGTON PD,B22-15113,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,W 7TH ST,,,,,W 7TH ST,N ROGERS ST,,,,Y,,0.0,,39.15386069,-86.49578195,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,W7THSTNROGERSST,0,,2022-04-27 09:10:00,,,
BLOOMINGTON PD,B22-36911,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,,E 12TH ST,,,,,E 12TH ST,N INDIANA AVE,,,,Y,,0.0,,39.16858,-86.53866,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$25001 TO $50000,RIGHT ANGLE,N.INDIANAAVEE12THST,0,,2022-09-13 11:40:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BENTON,UNIONVILLE(MONROE),1,,1,0,0,,ST RD 45,,,,,ST RD 45,N RICHARDSON RD,,,,N,,250.0,,39.17434,-86.52698,ST RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$2501 TO $5000,RAN OFF RD,STATERD45NRICHARDSONRD,0,,2022-09-10 01:09:00,,,
INDIANA UNIV BLOOMINGTON PD,223489,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,1818,N BAKER AVE,,,,,N BAKER AVE,,,,,Y,,0.0,,39.2398231915546,-86.3876151407984,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,N.BAKERAVE,0,,2022-09-22 10:35:00,,,
MONROE SD,M22A8659,MONROE,PERRY,BLOOMINGTON,1,,1,0,0,,ST RD 37,,,,,ST RD 37,S ST RD 37,,,,N,,0.0,,39.18408061,-86.51567049,ST RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$25001 TO $50000,RAN OFF RD,STATERD37SOLDSTATERD37,0,,2022-04-18 01:36:00,,,
BLOOMINGTON PD,B22-04347,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,2896,E 3RD ST,,,,,E 3RD ST,,,,,Y,,0.0,,39.08522699773026,-86.5427411275362,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,SNOW/SLUSH,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,E 3RDST,0,,2022-02-07 10:00:00,,,
BLOOMINGTON PD,B22-36308,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,,W 4TH ST,,,,,W 4TH ST,S ROGERS ST,,,,Y,,0.0,,39.16660097,-86.53709613,,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,OVERCORRECTING/OVERSTEERING,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,W4THSTSROGERSST,0,,2022-09-09 18:15:00,,,
MONROE SD,M22A2855,MONROE,VAN BUREN,BLOOMINGTON,2,,3,0,0,,S LIBERTY DR,,,,,S LIBERTY DR,,,,,N,,0.0,,39.16562901073137,-86.5387591940528,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,SLIBERTYDR,0,,2022-02-06 01:51:00,,,
MONROE SD,M22A23922,MONROE,RICHLAND,BLOOMINGTON,2,,0,0,0,,N DANIELS WAY,,,,,N DANIELS WAY,,,,,N,,0.0,,39.15804960843723,-86.5769560462296,PRIVATE DR,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,SAME DIRECTION SIDESWIPE,NDANIELSWAY,0,,2022-09-29 05:20:00,,,
BLOOMINGTON PD,B22-11592,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,W 2ND ST,,,,,W 2ND ST,S WALNUT ST,,,,Y,,0.0,,39.17200662,-86.59829325,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,RIGHT ANGLE,W 2NDSTSWALNUTST,0,,2022-04-04 14:40:00,,,
BLOOMINGTON PD,B22-41013,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,N KINSER PK,,,,,N KINSER PK,GOURLEY PK,,,,Y,,0.0,,39.16138,-86.53363,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,N.KINSERPKGOURLEYPK,0,,2022-10-06 08:41:00,,,
BLOOMINGTON PD,B22-41347,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E COVENANTER DR,,,,,E COVENANTER DR,S CLARIZZ BLVD,,,,Y,,0.0,,39.18504,-86.53774,LOCAL/CITY RD,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LN,UNDER $1001,REAR END,SCLARIZZBLVDECOVENANTERDR,0,,2022-10-07 18:50:00,,,
BLOOMINGTON PD,B22-15119,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,,W 3RD ST,,,,,W 3RD ST,S LIBERTY DR,,,,Y,,1000.0,,39.15462,-86.49179,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,W.3RDSTSLIBERTYDR,0,,2022-04-27 11:00:00,,,
BLOOMINGTON PD,B22-31387,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S KINGSTON DR,,,,Y,,0.0,,39.16461,-86.57913,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,SKINGSTONDRE 3RDST,0,,2022-08-13 12:42:00,,,
BLOOMINGTON PD,B22-37664,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,W 6TH ST,,,,,W 6TH ST,N WALNUT ST,,,,Y,,0.0,,39.1642,-86.49304,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER LN USAGE,$1001 TO $2500,BACKING CRASH,W6THSTNWALNUTST,0,,2022-09-17 19:06:00,,,
BLOOMINGTON PD,B22-30339,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,218,N MADISON ST,,,,,N MADISON ST,,,,,Y,,0.0,,39.16754228246646,-86.53360703950763,PRIVATE DR,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,CONCRETE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,OPPOSITE DIRECTION SIDESWIPE,NMADISONST,0,,2022-08-06 00:00:00,,,
BLOOMINGTON PD,B22-26014,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 10TH ST,,,,,E 10TH ST,E JOHN HINKLE PL,,,,Y,,0.0,,39.16845742,-86.53742385,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,EJOHNHINKLEPLE 10THST,0,,2022-07-08 15:57:00,,,
MONROE SD,M22A24182,MONROE,CLEAR CREEK,BLOOMINGTON,1,,2,0,0,,S ST RD,,,,,S ST RD,,,,,N,,0.0,,39.171494893276346,-86.49088023352613,ST RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,RAN OFF RD,SOUTHOLDSTATERD,0,,2022-10-02 00:40:00,,,
BLOOMINGTON PD,B22-32507,MONROE,PERRY,BLOOMINGTON,2,,1,0,0,,S COLLEGE MALL RD,,,,,S COLLEGE MALL RD,E MOORES PK,,,,Y,,950.0,,39.02827734,-86.54189864,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,SCOLLEGEMALLRDEMOORESPK,0,,2022-08-19 16:10:00,,,
MONROE SD,M22A23568,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,S FAIRFAX RD,,,,,S FAIRFAX RD,E RAYLETOWN RD,,,,N,,0.0,,39.15048,-86.49823,COUNTY RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,SFAIRFAXRDERAYLETOWNRD,0,,2022-09-25 11:04:00,,,
ELLETTSVILLE PD,E22-03608,MONROE,RICHLAND,ELLETTSVILLE,2,,0,0,0,,ST RD 46,,,,,ST RD 46,N LOVE LN,,,,Y,,106.0,,39.09261,-86.51702,ST RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,STATERD46NLOVELN,0,,2022-09-15 15:24:00,,,
