Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
BLOOMINGTON PD,BLOOMINGTON,1/5/2020,1:45 PM,2,0,0,0,0,2036,,,WALNUT KNOLLS APARTMENT DR,,,,,39.232544,-86.540704,UNKNOWN,Y,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/5/2020,10:24 PM,2,0,0,0,0,,,,SR 48,I-69 S,,,,39.164752,-86.573104,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SR37SW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/5/2020,11:15 PM,2,0,,,0,,,,W 12TH ST,N LINDBERGH DR,,400,E,39.174352,-86.55118055,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,12THSTLINDBERGHDR,NONE
MONROE SD,BLOOMINGTON,1/6/2020,3:12 PM,1,0,0,0,0,6550,,,SR 46,,,1200,E,0,0,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,STWINLEAFTRSR46E,NONE
BLOOMINGTON PD,BLOOMINGTON,1/6/2020,5:00 PM,2,0,0,0,0,,,,S LEONARD SPRINGS RD,W WALNUT LEAF DR,,,,39.140352,-86.582576,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SLEONARDSPRINGSRDWWALNUTLEAFDR,STOP SIGN
MONROE SD,BLOOMINGTON,1/6/2020,7:12 PM,2,0,0,0,0,,,,W COBBLESTONE ST,,,500,E,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,IMPROPER TURNING,REAR END,SOUTHCAVECREEKDRWESTCOBBLESTONEST,NONE
MONROE SD,BLOOMINGTON,1/7/2020,9:54 AM,2,0,0,0,0,,,,N MAPLE GROVE RD,W LANDCASTER DR,,,,0,0,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NMAPLEGROVERDWLANDCASTERDR,LANE CONTROL
ISP BLOOMINGTON 33,BLOOMINGTON,1/7/2020,10:35 AM,1,,0,0,1,,,,I-69 N,,,0,S,39.09448555,-86.56560215,INTERSTATE,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,113I-69,
MONROE SD,ELLETTSVILLE,1/7/2020,12:41 PM,2,0,0,0,0,,,,W HEDRICK RD,,,1300,W,39.281744,-86.662992,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,NORTHSTINESVILLERDWESTHEDRICKRD,NONE
MONROE SD,BLOOMINGTON,1/7/2020,3:55 PM,2,1,0,0,0,,,,N CURRY PIKE,W WOODYARD RD,,,,39.190672,-86.582992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NCURRYPIKEWWOODYARDRD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/7/2020,5:15 PM,2,0,0,0,0,,,,S ROGERS ST,W 2ND ST,,,,39.16139,-86.5387,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,2NDSTROGERSST,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/7/2020,6:30 PM,1,0,1,0,0,,,,E 7TH ST,N JORDAN AVE,,,,39.168944,-86.516016,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E7THSTJORDANAVE,STOP SIGN
MONROE SD,BLOOMINGTON,1/8/2020,5:05 AM,1,0,0,0,1,,,,SR 446,E WALDRIP CREEK RD,,120,N,0,0,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,EASTWALDRIPCREEKRDSR446S,NONE
BLOOMINGTON PD,BLOOMINGTON,1/8/2020,8:30 AM,2,0,2,0,0,,,,SR 48,S CURRY PIKE,,,,39.16464,-86.58296,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,CURRYPIKEW3RDST,TRAFFIC CONTROL SIGNAL
ISP BLOOMINGTON 33,BLOOMINGTON,1/8/2020,1:30 PM,2,,0,0,0,,103,M,SR 45/46,I-69,,0,S,39.18695151,-86.55807417,UNKNOWN,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,,CONCRETE,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SR37,
BLOOMINGTON PD,BLOOMINGTON,1/8/2020,2:09 PM,2,0,1,0,0,,,,N WALNUT ST,E 6TH ST,,100,S,39.167648,-86.533584,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,REAR END,E6THSTNWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/8/2020,2:24 PM,3,0,1,0,0,,,,SR 46,E 7TH ST,,,,39.167648,-86.500096,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E7THSTSR46N,STOP SIGN
MONROE SD,BLOOMINGTON,1/8/2020,3:07 PM,2,0,0,0,0,,,,S CURRY PIKE,W CONSTITUTION WAY,,,,,,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,CONSTITUTIONAVECURRYPIKE,STOP SIGN
MONROE SD,BLOOMINGTON,1/8/2020,3:41 PM,2,0,1,0,0,,,,W VERNAL PIKE,N LOESCH RD,,,,39.186352,-86.592896,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NLOESCHRDWVERNALPIKE,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/8/2020,4:00 PM,2,0,0,0,0,,,,SR 46,SR 45,,,,39.171648,-86.502096,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,10THSTSR46E,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/8/2020,4:53 PM,2,0,1,0,0,,,,S LEONARD SPRINGS RD,W WALNUT LEAF DR,,,,39.140352,-86.582576,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SLEONARDSPRINGSRDWWALNUTLEAFDR,NONE
BLOOMINGTON PD,BLOOMINGTON,1/8/2020,6:35 PM,2,0,0,0,0,,,,W BLOOMFIELD RD,,,500,W,39.154272,-86.564176,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,IMPROPER LANE USAGE,OPPOSITE DIRECTION SIDESWIPE,SOUTHWEIMERRDWESTBLOOMFIELDRD,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/8/2020,7:50 PM,2,0,0,0,0,,,,SR 46,N CAPITOL AVE ,,,,39.2232,-86.60912,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,CAPITOLAVESR46W,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/8/2020,9:51 PM,2,0,0,0,0,,,,N WASHINGTON ST,E 10TH ST,,,,39.17166,-86.53233,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,TENTHSTWASHINGTONST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/9/2020,5:00 AM,1,0,0,0,0,,,,N MADISON ST,,,300,N,0,0,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/HILLCREST,ASPHALT,,RAN OFF ROAD,EAST11THSTNORTHMADISONST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/9/2020,7:43 AM,2,0,0,0,0,,,,S TERRA CT,S ZONA CT,,,,39.14244,-86.54608,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,SZONACTTERRACT,NONE
BLOOMINGTON PD,BLOOMINGTON,1/9/2020,9:20 AM,1,0,0,0,0,,,,E MOORES PIKE,S OLCOTT BLVD,,100,W,39.15019,-86.48498135,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EMOORESPIKESOLCOTTBLVD,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/9/2020,9:55 AM,2,0,0,0,0,,,,E 3RD ST,S WALNUT ST,,50,E,39.16464,-86.5336,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,THIRDSTWALNUTST,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/9/2020,1:17 PM,2,0,0,0,0,,,,E 10TH ST,N SUNRISE DR,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,10THSTSUNRISEDR,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/9/2020,4:10 PM,2,0,0,0,0,900,,,E 7TH ST,N FORREST AVE (W),,,,39.168752,-86.5436,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,OPPOSITE DIRECTION SIDESWIPE,E7THST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/9/2020,4:40 PM,2,0,0,0,0,,,,S HENDERSON ST,S BRANDON CT,,,,39.13818,-86.52694,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT/RIGHT TURN,SOUTHBRANDONCTSOUTHHENDERSONST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/9/2020,6:05 PM,2,0,0,0,0,,,,N DUNN ST,E 7TH ST,,150,N,39.16864,-86.528224,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,CELL PHONE USAGE,REAR END,E7THSTNDUNNST,NONE
MONROE SD,BLOOMINGTON,1/10/2020,12:12 AM,1,0,0,0,0,,,,S SMITH RD,E LARRY WAYNE DR,,100,N,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH OBJECT IN ROAD,ELARRYWAYNEDRSSMITHRD,LANE CONTROL
MONROE SD,BLOOMINGTON,1/10/2020,4:56 AM,1,0,0,0,0,,,,N HARTSTRAIT RD,,,900,S,39.208544,-86.611504,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH OBJECT IN ROAD,NORTHHARTSTRAITRDWESTWOODYARDRD,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/10/2020,7:08 AM,1,0,0,0,0,,,,SR 46,S SHARP ST,,,,39.235952,-86.627904,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,T-INTERSECTION,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SHARPSTSR46W,LANE CONTROL
ELLETTSVILLE PD,ELLETTSVILLE,1/10/2020,7:34 AM,2,0,0,0,0,,,,S POPLAR DR,SR 46,,,,39.237248,-86.629296,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,POPLARDRSR46W,STOP SIGN
ISP BLOOMINGTON 33,BLOOMINGTON,1/10/2020,7:35 AM,2,,0,0,0,,,,SR 46,W ARLINGTON RD,,0,S,39.207772,-86.579931,STATE ROAD,,RURAL,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE LANE MOVEMENT,REAR END,STATERD46WARLINGTONRD,
BLOOMINGTON PD,BLOOMINGTON,1/10/2020,7:39 AM,1,0,1,0,0,,,,S HIGHLAND AVE,E MILLER DR,,,,39.146992,-86.517392,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EMILLERDRSHIGHLANDAVE,STOP SIGN
MONROE SD,BLOOMINGTON,1/10/2020,7:54 AM,3,0,0,0,0,,,,N SMITH PIKE,W WOODYARD RD,,1000,N,0,0,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NSMITHPIKEWWOODYARDRD,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/10/2020,9:40 AM,1,0,0,0,0,614,,,W ASSOCIATION ST,ALLEY,,15,E,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WATER (STANDING OR MOVING),,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,614ASSOCIATIONSTALLEYST,LANE CONTROL
ISP BLOOMINGTON 33,BLOOMINGTON,1/10/2020,10:10 AM,2,,0,0,0,,,,W KIRKWOOD AVE,S ROGERS ST,,0,S,39.166614,-86.538691,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,FOG/SMOKE/SMOG,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,SROGERSSTWKIRKWOODAVE,
ISP BLOOMINGTON 33,BLOOMINGTON,1/10/2020,12:25 PM,1,,0,0,0,9094,,,SR 48,,,0,S,39.1684943,-86.66998883,STATE ROAD,,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,NON-COLLISION,WSR48,
BLOOMINGTON PD,BLOOMINGTON,1/10/2020,1:56 PM,3,0,2,0,0,,,,E 3RD ST,S JEFFERSON ST,,50,E,39.164304,-86.506992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E3RDSTSJEFFERSONST,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/10/2020,2:12 PM,2,0,0,0,0,,,,SR 46,N SMITH PIKE,,,,39.210144,-86.5832,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SMITHPIKESR46W,TRAFFIC CONTROL SIGNAL
