Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number
INDIANA UNIV BLOOMINGTON PD,142066,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,INDIANA,AVE,,,,INDIANA AVE,KIRKWOOD,,,,Y,OTHER,,,39.16664,-86.526896,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,INDIANAAVEKIRKWOODAVE,1,STOP SIGN,2014-08-22 16:43:00,
BLOOMINGTON PD,90314293,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0,0,,COLLEGE,AVE,,,,COLLEGE AVE,ST RD 37,,,,Y,OTHER,,,39.186352,-86.534704,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,CENTER STRAND BARRIER,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,,COLLEGEAVEOLDSTATERD37RD,1,STOP SIGN,2014-09-03 20:36:00,
BLOOMINGTON PD,B1508692,MONROE,PERRY,BLOOMINGTON,2,0.0,0.0,0,0,,BLOOMFIELD,,,,,BLOOMFIELD,ALLEN,,,,Y,,,,39.156144,-86.561296,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,SNOW,ICE,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$1001 TO $2500,RIGHT ANGLE,ALLENSTBLOOMFIELDRD,0,STOP SIGN,2015-03-04 17:20:00,
BLOOMINGTON PD,B1414394,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,E 6TH,,,,,E 6TH,INDIANA,,,,Y,,,,39.167744,-86.526928,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,E6THSTINDIANAAVE,1,STOP SIGN,2014-11-10 15:55:00,
BLOOMINGTON PD,B1506014,MONROE,PERRY,BLOOMINGTON,1,0.0,0.0,0,0,,WINSLOW,,,,,WINSLOW,WINSLOW,,,,Y,,,,39.136144,-86.523744,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,WINSLOWCTWINSLOWRD,1,NONE,2015-02-12 22:28:00,
BLOOMINGTON PD,B1521762,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,N KINSER,PK,,,,N KINSER,W PARRISH,,,,Y,,,,39.188144,-86.5376,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,NKINSERPKWPARRISHRD,1,STOP SIGN,2015-05-28 07:54:00,
BLOOMINGTON PD,B1535336,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,,NANCY,ST,,,,NANCY,HILLSIDE,,,,Y,,,,39.150544,-86.511088,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,HILLSIDEDRNANCYST,1,STOP SIGN,2015-08-23 09:40:00,
BLOOMINGTON PD,B1546490,MONROE,VAN BUREN,BLOOMINGTON,2,1.0,0.0,0,0,,HIGHWAY 37 OFF RAMP,HWY,,,,HIGHWAY 37 OFF RAMP,BLOOMFIELD,,,,Y,,300.0,N,0.0,0.0,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,RAMP,STRAIGHT/GRADE,ASPHALT,IMPROPER LN USAGE,$5001 TO $10000,SAME DIRECTION SIDESWIPE,BLOOMFIELDRDHIGHWAY37OFFRAMPHWY,0,LN CONTROL,2015-10-30 22:45:00,
MONROE SD,M16A6228,MONROE,SALT CREEK,BLOOMINGTON,1,0.0,0.0,0,0,,,,ST RD 446S,,,ST RD 446S,KNIGHTRIDGE,,,,N,OTHER,,,39.14420245,-86.46687098,ST RD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,KNIGHTRIDGERDST RD 446S,1,STOP SIGN,2016-03-27 13:49:00,
BLOOMINGTON PD,B1600275,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0,0,,E 11TH,ST,,,,E 11TH,N DUNN,,,,Y,,,,39.17344,-86.528288,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,RIGHT ANGLE,E11THSTNDUNNST,1,STOP SIGN,2016-01-03 11:15:00,
MONROE SD,M16A11123,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,,S ROGERS,ST,,,,S ROGERS,W CLEAR CREEK,,,,N,OTHER,210.0,S,39.11136,-86.539824,COUNTY RD,,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER PASSING,UNDER $1001,SAME DIRECTION SIDESWIPE,SOUTHROGERSSTWCLEARCREEKDR,1,NONE,2016-05-24 15:21:00,
BLOOMINGTON PD,B1633217,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,WALNUT,ST,,,,WALNUT,3RD,,,,Y,,,,39.16464,-86.5336,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,UNDER $1001,RIGHT ANGLE,3RDSTWALNUTST,1,NONE,2016-08-22 18:28:00,
INDIANA UNIV BLOOMINGTON PD,161657,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0,0,,SUNRISE,AVE,,,,SUNRISE,7TH,,,,Y,,,,39.16853026,-86.51242017,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,7THSTSUNRISEAVE,1,STOP SIGN,2016-07-27 12:01:00,
MONROE SD,M17A15472,MONROE,SALT CREEK,BLOOMINGTON,1,0.0,1.0,0,0,,,,ST RD 446S,,,ST RD 446S,S KNIGHTRIDGE,,,,N,OTHER,,,39.1192,-86.43015,ST RD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,$10001 TO $25000,SAME DIRECTION SIDESWIPE,SKNIGHTRIDGERDST RD 446S,1,LN CONTROL,2017-07-04 16:25:00,
BLOOMINGTON PD,B1738872,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,,E DIXIE,ST,,,,E DIXIE,S WALNUT,,,,Y,,,,39.156544,-86.5336,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,EASTDIXIESTSOUTHWALNUTST,1,STOP SIGN,2017-09-21 20:54:00,
INDIANA UNIV BLOOMINGTON PD,171870,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,E 9TH,ST,,,,E 9TH,N WOODLAWN,,,,Y,,100.0,W,39.170544,-86.523488,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LN USAGE,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,E9THSTNWOODLAWNAVE,1,NONE,2017-08-28 15:45:00,
INDIANA UNIV BLOOMINGTON PD,171800,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,N EAGLESON AVE,AVE,,,,N EAGLESON AVE,E 7TH,,,,Y,,150.0,N,39.168944,-86.516016,LOCAL/CITY RD,,N,N,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,E7THSTNEAGLESON AVEAVE,1,NONE,2017-08-24 11:15:00,
INDIANA UNIV BLOOMINGTON PD,170869,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,7TH,ST,,,,7TH,SUNRISE,,,,Y,,,,39.16852,-86.512375,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,LEFT TURN,7THSTSUNRISEDR,1,NONE,2017-04-05 17:42:00,
BLOOMINGTON PD,B1727027,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,,,ST RD 45 W,,,ST RD 45 W,N KINSER,,,,Y,,,,39.186544,-86.537888,ST RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,NKINSERPKST RD 45 W,1,TRAFFIC CONTROL SIGNAL,2017-07-08 19:07:00,
BLOOMINGTON PD,B1750159,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0,0,,COLLEGE,AVE,,,,COLLEGE,9TH,,,,Y,,,,39.170544,-86.534768,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,HEADLIGHT DEFECTIVE OR NOT ON,UNDER $1001,RIGHT ANGLE,9THSTCOLLEGEAVE,1,STOP SIGN,2017-12-09 01:42:00,
BLOOMINGTON PD,B1812741,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,SMITH,RD,,,,SMITH,MORNINGSIDE,,,,Y,,,,39.166432,-86.4812,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,MORNINGSIDEDRSMITHRD,1,STOP SIGN,2018-03-31 16:10:00,
BLOOMINGTON PD,B1751096,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,,S HENDERSON,ST,,,,S HENDERSON,E WYLIE FARM,,,,Y,,,,39.14191,-86.52696,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,EASTWYLIEFARMRDSOUTHHENDERSONST,1,STOP SIGN,2017-12-15 19:58:00,
BLOOMINGTON PD,B1747633,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,BUICK CADILLAC,DR,,,,BUICK CADILLAC,COLLEGE MALL,,,,Y,,,,39.15811,-86.49789,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,BUICKCADILLACDRCOLLEGEMALLRD,1,TRAFFIC CONTROL SIGNAL,2017-11-20 12:25:00,
INDIANA UNIV BLOOMINGTON PD,180564,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,E 7TH,ST,,,,E 7TH,N FORREST,,,,Y,,,,39.168395,-86.520915,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,HEADLIGHT DEFECTIVE OR NOT ON,UNDER $1001,RIGHT ANGLE,E7THSTNFORRESTAVE,1,LN CONTROL,2018-02-24 02:00:00,
INDIANA UNIV BLOOMINGTON PD,182052,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,TENTH,ST,,,,TENTH,FEE,,,,Y,,179.0,W,39.17167,-86.51896451,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,SAME DIRECTION SIDESWIPE,FEELNTENTHST,1,NONE,2018-09-13 09:15:00,
BLOOMINGTON PD,B1829756,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,N ELM,ST,,,,N ELM,W 6TH,,,,Y,,,,39.167712,-86.5452,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,NELMSTW6THST,1,STOP SIGN,2018-07-25 09:05:00,
BLOOMINGTON PD,B1841648,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,,W 2ND,ST,,,,W 2ND,S COLLEGE,,,,Y,,150.0,W,39.16144,-86.534848,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,SOUTHCOLLEGEAVEWEST2NDST,1,LN CONTROL,2018-10-09 19:00:00,
MONROE SD,M18A31932,MONROE,VAN BUREN,BLOOMINGTON,1,0.0,1.0,0,0,,,,ST RD 48E,,,ST RD 48E,DANIELS,,,,N,,,,39.1648,-86.5991,ST RD,Y,N,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,LEFT TURN,ST RD 48EWDANIELSWAY,1,TRAFFIC CONTROL SIGNAL,2018-10-22 06:38:00,
INDIANA UNIV BLOOMINGTON PD,182647,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,3RD,ST,,,,3RD,EAGLESON AVE,,,,Y,,,,39.164315,-86.51655,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAWN/DUSK,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,RIGHT ANGLE,EAGLESON AVEAVE 3RDST,1,TRAFFIC CONTROL SIGNAL,2018-10-31 08:34:00,
