Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number
INDIANA UNIV BLOOMINGTON PD,140370,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,FACULTY,AVE,,,,FACULTY AVE,3RD,,,,Y,OTHER,,,39.16425212,-86.52107176,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,SNOW/SLUSH,NONE,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,SAME DIRECTION SIDESWIPE,FACULTYAVE 3RDST,1,TRAFFIC CONTROL SIGNAL,2014-02-04 22:30:00,
BLOOMINGTON PD,31014121,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,COLLEGE,AVE,,,,COLLEGE AVE,7TH,,,,Y,OTHER,,,39.168656,-86.534784,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,7THSTCOLLEGEAVE,1,TRAFFIC CONTROL SIGNAL,2014-03-10 11:31:00,
INDIANA UNIV BLOOMINGTON PD,141146,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,EAGLESON AVE,AVE,,,,EAGLESON AVE,3RD,,,,Y,OTHER,,,39.16427532,-86.51640856,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,LEFT TURN,EAGLESON AVEAVE 3RDST,1,TRAFFIC CONTROL SIGNAL,2014-04-16 20:53:00,
BLOOMINGTON PD,52814220,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,E 3RD,ST,,,,E 3RD ST,S CLARIZZ,,,,Y,OTHER,,,39.16424,-86.4908,LOCAL/CITY RD,Y,,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,,,OTHER - EXPLAIN IN NARRATIVE,E 3RDSTSCLARIZZBLVD,1,TRAFFIC CONTROL SIGNAL,2014-05-28 14:20:00,
BLOOMINGTON PD,53014199,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,ATWATER,AVE,,,,ATWATER AVE,EAGLESON AVE,,,,Y,OTHER,,,39.16304983,-86.51638984,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,ATWATERAVEEAGLESON AVEAVE,1,TRAFFIC CONTROL SIGNAL,2014-05-30 12:48:00,
BLOOMINGTON PD,90314296,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,HILLSIDE,DR,,,,HILLSIDE DR,WALNUT,,,,Y,OTHER,,,39.150544,-86.5336,LOCAL/CITY RD,Y,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,HILLSIDEDRWALNUTST,1,TRAFFIC CONTROL SIGNAL,2014-09-03 20:15:00,
BLOOMINGTON PD,B1407768,MONROE,VAN BUREN,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,N ST RD 37,,,N ST RD 37,3RD,,,,Y,OTHER,,,39.164752,-86.573104,ST RD,,N,Y,URBAN,N,Y,N,,DAYLIGHT,CLEAR,DRY,CURBED,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,3RDSTN ST RD 37,1,LN CONTROL,2014-09-26 13:45:00,
INDIANA UNIV BLOOMINGTON PD,143416,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,10TH,,,,,10TH,FEE,,,,Y,,100.0,W,39.17158656,-86.51904083,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,10THSTFEELN,1,NONE,2014-12-02 19:05:00,
BLOOMINGTON PD,B1417447,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,PATTERSON,,,,,PATTERSON,3RD,,,,Y,,,,39.16344009,-86.55128002,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,3RDSTPATTERSONST,1,NONE,2014-12-05 23:50:00,
MONROE SD,M15A1460,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,900.0,W GORDON,,,,,W GORDON,,,,,N,,,,39.121648,-86.539088,OTHER,,N,N,URBAN,Y,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WGORDONPK,1,YIELD SIGN,2015-01-23 08:06:00,
BLOOMINGTON PD,B1529847,MONROE,PERRY,BLOOMINGTON,1,0.0,2.0,0.0,0.0,1333.0,S SARE,RD,,,,S SARE,,,,,Y,,,,39.150448,-86.4992,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$5001 TO $10000,BACKING CRASH,SSARERD,1,NONE,2015-07-20 17:00:00,
BLOOMINGTON PD,B1545117,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,W 4TH,ST,,,,W 4TH,S FAIRVIEW,,,,Y,,,,39.165712,-86.5408,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,$5001 TO $10000,RIGHT ANGLE,SFAIRVIEWSTW4THST,1,STOP SIGN,2015-10-22 12:50:00,
INDIANA UNIV BLOOMINGTON PD,152939,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,ATWATER,AVE,,,,ATWATER,EAGLESON AVE,,,,Y,,,,39.16304983,-86.51638984,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,LEFT TURN,ATWATERAVEEAGLESON AVEAVE,1,TRAFFIC CONTROL SIGNAL,2015-10-30 23:20:00,
BLOOMINGTON PD,B1644829,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,1ST,ST,,,,1ST,ROGERS,,,,Y,,,,39.159504,-86.538592,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,1STSTROGERSST,1,STOP SIGN,2016-11-07 08:58:00,
MONROE SD,M16A25978,MONROE,WASHINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,N ST RD 37,,,N ST RD 37,BURMA,,,,N,OTHER,2000.0,N,39.31968099,-86.51067443,ST RD,,N,N,RURAL,N,N,Y,WORK ON SHOULDER,DAYLIGHT,RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,BURMARDN ST RD 37,1,NONE,2016-11-18 17:45:00,
INDIANA UNIV BLOOMINGTON PD,170430,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,1000.0,N FEE,LN,,,,N FEE,,,,,Y,,,,39.175152,-86.518992,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,NFEELN,1,STOP SIGN,2017-02-17 16:30:00,
INDIANA UNIV BLOOMINGTON PD,170559,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,1000.0,N FEE,LN,,,,N FEE,,,,,Y,,,,39.175152,-86.518992,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NFEELN,1,NONE,2017-03-02 12:30:00,
BLOOMINGTON PD,B1708910,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,N DUNN,ST,,,,N DUNN,E 10TH,,,,Y,,,,39.17168,-86.528256,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,E 10THSTNDUNNST,1,NONE,2017-03-10 00:02:00,
BLOOMINGTON PD,B1713036,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,2.0,0.0,0.0,4531.0,E 3RD,ST,,,,E 3RD,,,,,Y,PRIVATE,,,39.164288,-86.473488,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,BACKING CRASH,E 3RDST,2,NONE,2017-04-08 16:45:00,
INDIANA UNIV BLOOMINGTON PD,171245,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,611.0,N WALNUT GROVE,ST,,,,N WALNUT GROVE,,,,,Y,,,,39.17170612,-86.52089927,OTHER,,N,N,URBAN,Y,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NWALNUTGROVEST,1,NONE,2017-05-18 07:57:00,
BLOOMINGTON PD,B1742099,MONROE,RICHLAND,BLOOMINGTON,1,0.0,2.0,0.0,0.0,160.0,GATES,DR,,,,GATES,,,,,Y,,,,39.16781211,-86.57606255,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,GATESDR,1,NONE,2017-10-13 16:49:00,
INDIANA UNIV BLOOMINGTON PD,172936,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0.0,0.0,445.0,N UNION,ST,,,,N UNION,,,,,Y,,,,39.17034241,-86.50949389,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,CONCRETE,UNSAFE LN MOVEMENT,UNDER $1001,LEFT TURN,NORTHUNIONST,1,NONE,2017-11-30 11:30:00,
BLOOMINGTON PD,B1751097,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,MOSS CREEK,DR,,,,MOSS CREEK,WINSLOW FARM,,,,Y,,150.0,S,39.12150937,-86.52084,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,MOSSCREEKDRWINSLOWFARMDR,1,NONE,2017-12-15 18:05:00,
BLOOMINGTON PD,B1751189,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,2.0,0.0,0.0,,E 4TH,ST,,,,E 4TH,S WASHINGTON,,,,Y,,,,39.165648,-86.5324,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,EAST4THSTSOUTHWASHINGTONST,2,STOP SIGN,2017-12-16 14:12:00,
BLOOMINGTON PD,B1752366,MONROE,PERRY,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,1822 S COVEY,LN,,,,S COVEY,MILLER,,,,Y,,300.0,S,39.146976,-86.516192,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,1822SCOVEYLNMILLERDR,1,NONE,2017-12-18 13:45:00,1822
BLOOMINGTON PD,B1802985,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,105.0,S FRANKLIN,RD,,,,S FRANKLIN,,,,,Y,,,,39.166496,-86.571216,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SFRANKLINRD,1,NONE,2018-01-23 16:12:00,
INDIANA UNIV BLOOMINGTON PD,180527,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,UNION,ST,,,,UNION,TENTH,,,,Y,,,,39.17157,-86.50935,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,COLLISION WITH OBJECT IN RD,TENTHSTUNIONST,1,TRAFFIC CONTROL SIGNAL,2018-02-21 20:23:00,
BLOOMINGTON PD,B1819052,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,2.0,0.0,0.0,,KIRKWOOD,AVE,,,,KIRKWOOD,GRANT,,,,Y,,,,39.16664,-86.529696,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$1001 TO $2500,COLLISION WITH OBJECT IN RD,GRANTSTKIRKWOODAVE,2,STOP SIGN,2018-05-11 02:49:00,
BLOOMINGTON PD,B1828595,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,2500.0,S ROCKPORT,RD,,,,S ROCKPORT,,,,,Y,,,,39.165648,-86.505792,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SROCKPORTRD,1,NONE,2018-07-17 13:07:00,
BLOOMINGTON PD,B1840350,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,W 3RD,ST,,,,W 3RD,S KIMBLE,,,,Y,,,,39.16464,-86.568,LOCAL/CITY RD,Y,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,RIGHT TURN,SKIMBLEDRW 3RDST,1,TRAFFIC CONTROL SIGNAL,2018-10-01 08:45:00,
INDIANA UNIV BLOOMINGTON PD,182809,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,WOODLAWN,AVE,,,,WOODLAWN,SEVENTH,,,,Y,,,,39.16861,-86.523395,,,,Y,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,,RIGHT TURN,SEVENTHSTWOODLAWNAVE,1,STOP SIGN,2018-11-15 06:33:00,
INDIANA UNIV BLOOMINGTON PD,183002,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,3RD,ST,,,,3RD,CLIFTON,,,,Y,,,,39.164275,-86.50954,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,RIGHT TURN,CLIFTONAVE 3RDST,1,NONE,2018-12-06 13:23:00,
BLOOMINGTON PD,B1849826,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,W 4TH,ST,,,,W 4TH,S MADISON,,,,Y,,,,39.16568,-86.537296,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),SLEET/HAIL/FREEZING RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SMADISONSTW4THST,1,STOP SIGN,2018-12-06 20:12:00,
INDIANA UNIV BLOOMINGTON PD,190240,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,INDIANA,AVE,,,,INDIANA,17TH,,,,Y,,,,39.179024,-86.5272,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,EAST17THSTINDIANAAVE,1,STOP SIGN,2019-01-28 08:37:00,
INDIANA UNIV BLOOMINGTON PD,190318,MONROE,BLOOMINGTON,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,3RD,ST,,,,3RD,EAGLESON AVE,,,,Y,,,,39.164315,-86.51655,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,REAR END,EAGLESON AVEAVE 3RDST,0,TRAFFIC CONTROL SIGNAL,2019-02-07 11:15:00,
INDIANA UNIV BLOOMINGTON PD,190652,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,400.0,SIXTH,,,,,SIXTH ST,GRANT,,,,Y,,,,39.16749617,-86.52961263,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,COLLISION WITH OBJECT IN RD,E7THSTST,1,NONE,2019-03-19 17:19:00,
INDIANA UNIV BLOOMINGTON PD,190873,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,2.0,0.0,0.0,,BALLANTINE,RD,,,,BALLANTINE,3RD,,,,Y,,,,39.16427,-86.51913,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,BALLANTINERD3RDST,2,LN CONTROL,2019-04-09 19:19:00,
